dataset,candidate,tau_rank,prediction_strength,base_correct,candidate_correct,delta_correct,delta_pp,corrected,regressed,net_correction
fgvc,P0,0.15,0.0,908,908,0,0.0,0,0,0
caltech101,P0,0.15,0.0,2326,2326,0,0.0,0,0,0
stanford_cars,P_t0.075_r2,0.075,0.15,5605,5607,2,0.02487252829249087,3,1,2
dtd,P_t0.075_r1,0.075,0.075,863,867,4,0.2364066193853418,4,0,4
eurosat,P_t0.075_r0.25,0.075,0.01875,5490,5500,10,0.12345679012346977,27,17,10
oxford_flowers,P0,0.15,0.0,1895,1895,0,0.0,0,0,0
food101,P0,0.15,0.0,26373,26373,0,0.0,0,0,0
oxford_pets,P2_t0.075_r0.35,0.075,0.02625,3409,3410,1,0.027255382938122352,1,0,1
sun397,P2_t0.075_r0.85,0.075,0.06375,13681,13683,2,0.01007556675062915,2,0,2
ucf101,P2_t0.075_r2.55,0.075,0.19124999999999998,2801,2803,2,0.05286809410520732,3,1,2
