dataset,display_name,base_correct,base_total,base_accuracy,posterior_correct,posterior_accuracy,delta_p_correct,delta_p_pp,update_correct,update_accuracy,delta_u_correct,delta_u_pp,full_correct,full_accuracy,delta_full_correct,delta_full_pp
fgvc,Aircraft,908,3333,27.242724272427242,908,27.242724272427242,0,0.0,865,25.952595259525953,-43,-1.2901290129012892,865,25.952595259525953,-43,-1.2901290129012892
caltech101,Caltech101,2326,2465,94.36105476673428,2326,94.36105476673428,0,0.0,2321,94.15821501014199,-5,-0.20283975659229725,2321,94.15821501014199,-5,-0.20283975659229725
stanford_cars,Cars,5605,8041,69.70526053973387,5605,69.70526053973387,0,0.0,5594,69.56846163412511,-11,-0.13679890560875663,5545,68.95908469095883,-60,-0.7461758487750387
dtd,DTD,863,1692,51.004728132387704,863,51.004728132387704,0,0.0,859,50.76832151300236,-4,-0.2364066193853418,860,50.8274231678487,-3,-0.17730496453900457
eurosat,EuroSAT,5490,8100,67.77777777777777,5499,67.88888888888889,9,0.11111111111111427,6217,76.75308641975309,727,8.975308641975317,5489,67.76543209876543,-1,-0.012345679012341293
oxford_flowers,Flower102,1895,2463,76.93869265123833,1895,76.93869265123833,0,0.0,1882,76.41088103938287,-13,-0.527811611855455,1882,76.41088103938287,-13,-0.527811611855455
food101,Food101,26373,30300,87.03960396039604,26372,87.03630363036304,-1,-0.0033003300329994545,26379,87.05940594059406,6,0.01980198019802515,26379,87.05940594059406,6,0.01980198019802515
oxford_pets,Pets,3409,3669,92.91360043608613,3409,92.91360043608613,0,0.0,3387,92.31398201144727,-22,-0.5996184246388623,3387,92.31398201144727,-22,-0.5996184246388623
sun397,SUN397,13681,19850,68.92191435768262,13681,68.92191435768262,0,0.0,13692,68.97732997481108,11,0.055415617128460326,13692,68.97732997481108,11,0.055415617128460326
ucf101,UCF101,2801,3783,74.04176579434312,2801,74.04176579434312,0,0.0,2807,74.20037007665874,6,0.15860428231562196,2807,74.20037007665874,6,0.15860428231562196
