dataset,candidate,base_correct,candidate_correct,delta_correct,base_acc,candidate_acc,delta_pp,corrected,regressed,net_correction,unchanged_correct,unchanged_wrong
fgvc,P0,908,908,0,27.242724272427242,27.242724272427242,0.0,0,0,0,908,2425
fgvc,P1,908,908,0,27.242724272427242,27.242724272427242,0.0,0,0,0,908,2425
fgvc,P2,908,906,-2,27.242724272427242,27.182718271827184,-0.06000600060005823,0,2,-2,906,2425
fgvc,P3,908,904,-4,27.242724272427242,27.122712271227122,-0.12001200120012001,0,4,-4,904,2425
fgvc,P4,908,904,-4,27.242724272427242,27.122712271227122,-0.12001200120012001,2,6,-4,902,2423
fgvc,P5,908,903,-5,27.242724272427242,27.09270927092709,-0.1500150015001509,3,8,-5,900,2422
fgvc,P6,908,899,-9,27.242724272427242,26.97269726972697,-0.2700270027002709,4,13,-9,895,2421
fgvc,P7,908,904,-4,27.242724272427242,27.122712271227122,-0.12001200120012001,13,17,-4,891,2412
fgvc,P8,908,900,-8,27.242724272427242,27.002700270027002,-0.24002400240024002,14,22,-8,886,2411
caltech101,P0,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P1,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P2,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P3,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P4,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P5,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P6,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P7,2326,2326,0,94.36105476673428,94.36105476673428,0.0,0,0,0,2326,139
caltech101,P8,2326,2326,0,94.36105476673428,94.36105476673428,0.0,1,1,0,2325,138
stanford_cars,P0,5605,5605,0,69.70526053973387,69.70526053973387,0.0,0,0,0,5605,2436
stanford_cars,P1,5605,5605,0,69.70526053973387,69.70526053973387,0.0,0,0,0,5605,2436
stanford_cars,P2,5605,5605,0,69.70526053973387,69.70526053973387,0.0,0,0,0,5605,2436
stanford_cars,P3,5605,5606,1,69.70526053973387,69.71769680388012,0.012436264146245435,1,0,1,5605,2435
stanford_cars,P4,5605,5605,0,69.70526053973387,69.70526053973387,0.0,1,1,0,5604,2435
stanford_cars,P5,5605,5606,1,69.70526053973387,69.71769680388012,0.012436264146245435,2,1,1,5604,2434
stanford_cars,P6,5605,5607,2,69.70526053973387,69.73013306802636,0.02487252829249087,3,1,2,5604,2433
stanford_cars,P7,5605,5606,1,69.70526053973387,69.71769680388012,0.012436264146245435,5,4,1,5601,2431
stanford_cars,P8,5605,5604,-1,69.70526053973387,69.69282427558761,-0.012436264146259646,5,6,-1,5599,2431
dtd,P0,863,863,0,51.004728132387704,51.004728132387704,0.0,0,0,0,863,829
dtd,P1,863,863,0,51.004728132387704,51.004728132387704,0.0,0,0,0,863,829
dtd,P2,863,863,0,51.004728132387704,51.004728132387704,0.0,0,0,0,863,829
dtd,P3,863,863,0,51.004728132387704,51.004728132387704,0.0,0,0,0,863,829
dtd,P4,863,865,2,51.004728132387704,51.12293144208038,0.11820330969267445,2,0,2,863,827
dtd,P5,863,867,4,51.004728132387704,51.241134751773046,0.2364066193853418,4,0,4,863,825
dtd,P6,863,863,0,51.004728132387704,51.004728132387704,0.0,4,4,0,859,825
dtd,P7,863,860,-3,51.004728132387704,50.8274231678487,-0.17730496453900457,4,7,-3,856,825
dtd,P8,863,856,-7,51.004728132387704,50.59101654846336,-0.41371158392434637,5,12,-7,851,824
eurosat,P0,5490,5490,0,67.77777777777777,67.77777777777777,0.0,0,0,0,5490,2610
eurosat,P1,5490,5499,9,67.77777777777777,67.88888888888889,0.11111111111111427,10,1,9,5489,2600
eurosat,P2,5490,5496,6,67.77777777777777,67.85185185185185,0.07407407407407618,12,6,6,5484,2598
eurosat,P3,5490,5500,10,67.77777777777777,67.90123456790124,0.12345679012346977,27,17,10,5473,2583
eurosat,P4,5490,5496,6,67.77777777777777,67.85185185185185,0.07407407407407618,43,37,6,5453,2567
eurosat,P5,5490,5484,-6,67.77777777777777,67.70370370370371,-0.07407407407406197,77,83,-6,5407,2533
eurosat,P6,5490,5464,-26,67.77777777777777,67.45679012345678,-0.3209876543209873,141,167,-26,5323,2469
eurosat,P7,5490,5360,-130,67.77777777777777,66.17283950617283,-1.6049382716049365,190,320,-130,5170,2420
eurosat,P8,5490,5232,-258,67.77777777777777,64.5925925925926,-3.1851851851851762,217,475,-258,5015,2393
oxford_flowers,P0,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
oxford_flowers,P1,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
oxford_flowers,P2,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
oxford_flowers,P3,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
oxford_flowers,P4,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
oxford_flowers,P5,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
oxford_flowers,P6,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
oxford_flowers,P7,1895,1895,0,76.93869265123833,76.93869265123833,0.0,0,0,0,1895,568
