heldout_dataset,selected_candidate_from_other9,candidate_acc,base_acc,delta_pp,delta_correct,candidate_last50_acc,base_last50_acc,delta_last50_pp
fgvc,U1_t0.15_p2,25.952595259525953,27.242724272427242,-1.2901290129012892,-43,27.474505098980202,28.974205158968207,-1.4997000599880046
caltech101,U1_t0.15_p2,94.15821501014199,94.36105476673428,-0.20283975659229725,-5,95.05271695052717,95.1338199513382,-0.0811030008110265
stanford_cars,U1_t0.15_p2,69.56846163412511,69.70526053973387,-0.13679890560875663,-11,71.40014921661279,71.37527978114896,0.02486943546382747
dtd,U1_t0.15_p2,50.76832151300236,51.004728132387704,-0.2364066193853418,-4,54.1371158392435,54.255319148936174,-0.11820330969267445
eurosat,U1_t0.6_p0.25,69.01234567901234,67.77777777777777,1.2345679012345698,100,69.90123456790124,68.54320987654322,1.3580246913580254
oxford_flowers,U1_t0.15_p2,76.41088103938287,76.93869265123833,-0.527811611855455,-13,79.9512987012987,80.68181818181819,-0.7305194805194901
food101,U1_t0.15_p2,87.05940594059406,87.03960396039604,0.01980198019802515,6,87.2871287128713,87.20792079207921,0.07920792079208638
oxford_pets,U1_t0.15_p2,92.31398201144727,92.91360043608613,-0.5996184246388623,-22,93.67847411444141,93.95095367847412,-0.27247956403270734
sun397,U1_t0.15_p2,68.97732997481108,68.92191435768262,0.055415617128460326,11,70.17632241813602,70.0352644836272,0.1410579345088223
ucf101,U1_t0.15_p2,74.20037007665874,74.04176579434312,0.15860428231562196,6,76.84989429175475,76.74418604651163,0.10570824524312172
