dataset,N,original_dota,matched_base_dota,rank_free,prediction_only,update_only,pure_rank,geometry_only,full_v3,G_active,P_active,U_active,rank_interaction_pp
fgvc,3333,26.192619261926193,26.85268526852685,27.242724272427242,27.242724272427242,27.242724272427242,27.242724272427242,27.21272127212721,27.21272127212721,True,False,False,0.0
caltech101,2465,94.19878296146045,93.7525354969574,94.36105476673428,94.36105476673428,94.36105476673428,94.36105476673428,94.36105476673428,94.36105476673428,True,False,False,0.0
stanford_cars,8041,69.74256933217262,69.91667703022013,69.70526053973387,69.71769680388012,69.70526053973387,69.71769680388012,69.71769680388012,69.73013306802636,True,True,False,0.0
dtd,1692,48.10874704491726,49.70449172576832,51.004728132387704,51.004728132387704,51.004728132387704,51.004728132387704,51.06382978723404,51.06382978723404,True,False,False,0.0
eurosat,8100,62.925925925925924,62.901234567901234,67.77777777777777,64.5925925925926,76.75308641975309,73.48148148148148,68.23456790123457,73.77777777777777,True,True,True,-0.08641975308643168
oxford_flowers,2463,75.07105156313439,76.53268371904181,76.93869265123833,76.93869265123833,76.93869265123833,76.93869265123833,76.93869265123833,76.93869265123833,True,True,False,0.0
food101,30300,86.94389438943894,87.00660066006601,87.03960396039604,87.01980198019803,87.05940594059406,87.05610561056106,87.03960396039604,87.05610561056106,False,True,True,0.016501650165011483
oxford_pets,3669,91.9051512673753,92.64104660670482,92.91360043608613,92.91360043608613,92.91360043608613,92.91360043608613,92.94085581902425,92.94085581902425,True,False,False,0.0
sun397,19850,68.84130982367758,68.86649874055415,68.92191435768262,68.93198992443325,68.98740554156171,68.98740554156171,68.92191435768262,68.98740554156171,False,True,True,-0.01007556675062915
ucf101,3783,72.37642083002908,73.03727200634417,74.04176579434312,74.01533174729052,74.20037007665874,74.12106793550093,74.04176579434312,74.20037007665874,True,True,True,-0.05286809410520732
office_home_art,2427,83.97198187062217,83.72476308199423,86.32056036258756,86.48537288833951,86.32056036258756,86.48537288833951,86.32056036258756,86.48537288833951,True,True,False,0.0
office_home_clipart,4365,70.08018327605957,70.08018327605957,71.1340206185567,71.1340206185567,71.1340206185567,71.1340206185567,71.1340206185567,71.1340206185567,True,False,False,0.0
office_home_product,4439,90.35818878125704,90.40324397386799,92.07028610047308,92.07028610047308,92.07028610047308,92.07028610047308,92.07028610047308,92.07028610047308,True,False,False,0.0
office_home_real_world,4357,90.93412898783566,90.91117741565297,92.40302960752811,92.4718843240762,92.40302960752811,92.4718843240762,92.40302960752811,92.4718843240762,True,True,False,0.0
visda2017_validation,55388,86.11973712717557,86.68303603668664,88.07683974868202,88.00823283021593,88.36029464866036,88.33862930598686,88.0804506391276,88.33501841554127,True,True,True,0.04694157579258729
domainnet_clipart,14604,73.63051218844153,73.39769926047659,74.71925499863052,74.73294987674609,74.71925499863052,74.73294987674609,74.71240755957272,74.74664475486168,True,True,False,0.0
domainnet_infograph,15582,51.983057373892954,51.983057373892954,53.24091900911308,53.24091900911308,53.24091900911308,53.24091900911308,53.24091900911308,53.24091900911308,True,False,False,0.0
domainnet_painting,21850,69.24027459954233,69.11670480549199,71.64302059496568,71.64302059496568,71.64302059496568,71.64302059496568,71.64302059496568,71.64302059496568,True,False,False,0.0
domainnet_quickdraw,51750,17.95942028985507,20.713043478260868,19.404830917874396,19.344927536231886,19.669565217391305,19.567149758454107,19.404830917874396,19.569082125603863,True,True,True,-0.04251207729468831
domainnet_real,52041,83.61099902000346,84.32005534098116,85.9918141465383,85.98989258469284,86.05138256374781,86.04753944005688,85.99565727022924,86.05138256374781,True,True,True,-0.0019215618454637706
domainnet_sketch,20916,65.54312488047428,65.52400076496463,66.95830942818894,66.99177663033085,66.95830942818894,66.99177663033085,66.9439663415567,66.99177663033085,True,True,False,0.0
